StrategyCombo,BuyOperator,SellOperator,BestParams,TrainPerformance,FinalPortfolioValue,StrategyType,Symbol
['moving_average_crossover'],,,"{'short_window': 5, 'long_window': 100}",12.645606924518098,136456.069245181,single,ETH/USD
['rsi'],,,"{'period': 7, 'buy_threshold': 30, 'sell_threshold': 65}",-0.963439710208475,365.60289791525037,single,ETH/USD
['bollinger_bands'],,,"{'period': 20, 'std_dev': 2}",-0.9847594082171877,152.4059178281234,single,ETH/USD
['macd'],,,"{'fast_period': 12, 'slow_period': 26, 'signal_period': 12}",20.51692336726527,215169.2336726527,single,ETH/USD
['high_low_breakout'],,,{'lookback': 48},16.360428018505438,173604.28018505438,single,ETH/USD
['volume_price_action'],,,{'volume_multiplier': 2.5},-0.18273853979559784,8172.614602044022,single,ETH/USD
['vwap_zone'],,,"{'rsi_period': 14, 'rsi_lower': 45, 'rsi_upper': 60}",-0.9695161546675695,304.83845332430536,single,ETH/USD
['zscore_mean_reversion'],,,"{'zscore_window': 20, 'zscore_threshold': 2}",-0.9847594082171877,152.4059178281234,single,ETH/USD
"['moving_average_crossover', 'rsi']",AND,OR,"{'moving_average_crossover': {'short_window': 5, 'long_window': 50}, 'rsi': {'period': 7, 'buy_threshold': 30, 'sell_threshold': 65}}",-0.8567631521601109,1432.368478398891,combo,ETH/USD
"['moving_average_crossover', 'rsi']",OR,AND,"{'moving_average_crossover': {'short_window': 5, 'long_window': 100}, 'rsi': {'period': 14, 'buy_threshold': 25, 'sell_threshold': 65}}",10.368834738454868,113688.34738454869,combo,ETH/USD
"['macd', 'bollinger_bands']",AND,OR,"{'macd': {'fast_period': 12, 'slow_period': 26, 'signal_period': 12}, 'bollinger_bands': {'period': 20, 'std_dev': 2}}",-0.7794022304131051,2205.977695868949,combo,ETH/USD
"['macd', 'bollinger_bands']",OR,AND,"{'macd': {'fast_period': 20, 'slow_period': 50, 'signal_period': 12}, 'bollinger_bands': {'period': 20, 'std_dev': 2}}",2.4908732055863583,34908.732055863584,combo,ETH/USD
"['rsi', 'zscore_mean_reversion']",AND,AND,"{'rsi': {'period': 14, 'buy_threshold': 35, 'sell_threshold': 75}, 'zscore_mean_reversion': {'zscore_window': 20, 'zscore_threshold': 2}}",-0.9779937457329797,220.062542670203,combo,ETH/USD
"['rsi', 'zscore_mean_reversion']",OR,OR,"{'rsi': {'period': 14, 'buy_threshold': 35, 'sell_threshold': 75}, 'zscore_mean_reversion': {'zscore_window': 20, 'zscore_threshold': 2.5}}",-0.9497675681952198,502.3243180478021,combo,ETH/USD
"['high_low_breakout', 'volume_price_action']",AND,AND,"{'high_low_breakout': {'lookback': 12}, 'volume_price_action': {'volume_multiplier': 2.5}}",10.70244921486685,117024.49214866849,combo,ETH/USD
"['high_low_breakout', 'volume_price_action']",OR,OR,"{'high_low_breakout': {'lookback': 48}, 'volume_price_action': {'volume_multiplier': 2.5}}",-0.5683724555671642,4316.275444328358,combo,ETH/USD
"['vwap_zone', 'rsi']",AND,AND,"{'vwap_zone': {'rsi_period': 14, 'rsi_lower': 45, 'rsi_upper': 65}, 'rsi': {'period': 14, 'buy_threshold': 25, 'sell_threshold': 65}}",-0.9536727004607638,463.272995392362,combo,ETH/USD
"['vwap_zone', 'rsi']",OR,OR,"{'vwap_zone': {'rsi_period': 14, 'rsi_lower': 45, 'rsi_upper': 65}, 'rsi': {'period': 7, 'buy_threshold': 35, 'sell_threshold': 70}}",-0.9813038396846868,186.96160315313182,combo,ETH/USD
"['moving_average_crossover', 'rsi', 'bollinger_bands']",AND,OR,"{'moving_average_crossover': {'short_window': 5, 'long_window': 100}, 'rsi': {'period': 14, 'buy_threshold': 35, 'sell_threshold': 75}, 'bollinger_bands': {'period': 20, 'std_dev': 2}}",-0.8952702866427307,1047.2971335726934,combo,ETH/USD
"['macd', 'high_low_breakout', 'volume_price_action']",OR,AND,"{'macd': {'fast_period': 12, 'slow_period': 26, 'signal_period': 12}, 'high_low_breakout': {'lookback': 48}, 'volume_price_action': {'volume_multiplier': 2.5}}",20.58603573400215,215860.3573400215,combo,ETH/USD
"['zscore_mean_reversion', 'rsi', 'vwap_zone']",AND,AND,"{'zscore_mean_reversion': {'zscore_window': 30, 'zscore_threshold': 3}, 'rsi': {'period': 7, 'buy_threshold': 35, 'sell_threshold': 65}, 'vwap_zone': {'rsi_period': 7, 'rsi_lower': 45, 'rsi_upper': 60}}",-0.9471736588297317,528.263411702683,combo,ETH/USD
"['bollinger_bands', 'high_low_breakout', 'macd']",OR,OR,"{'bollinger_bands': {'period': 14, 'std_dev': 3}, 'high_low_breakout': {'lookback': 48}, 'macd': {'fast_period': 12, 'slow_period': 26, 'signal_period': 9}}",-0.9653750044956276,346.2499550437237,combo,ETH/USD
"['moving_average_crossover', 'macd']",AND,AND,"{'moving_average_crossover': {'short_window': 5, 'long_window': 100}, 'macd': {'fast_period': 20, 'slow_period': 26, 'signal_period': 12}}",25.66912305758389,266691.2305758389,combo,ETH/USD
"['moving_average_crossover', 'macd']",OR,OR,"{'moving_average_crossover': {'short_window': 5, 'long_window': 50}, 'macd': {'fast_period': 20, 'slow_period': 50, 'signal_period': 12}}",1.0920601614812093,20920.601614812094,combo,ETH/USD
"['rsi', 'bollinger_bands']",AND,AND,"{'rsi': {'period': 14, 'buy_threshold': 35, 'sell_threshold': 75}, 'bollinger_bands': {'period': 20, 'std_dev': 2}}",-0.9779937457329797,220.062542670203,combo,ETH/USD
"['rsi', 'bollinger_bands']",OR,OR,"{'rsi': {'period': 14, 'buy_threshold': 35, 'sell_threshold': 75}, 'bollinger_bands': {'period': 20, 'std_dev': 2.5}}",-0.9497675681952198,502.3243180478021,combo,ETH/USD
"['macd', 'zscore_mean_reversion']",AND,AND,"{'macd': {'fast_period': 20, 'slow_period': 50, 'signal_period': 12}, 'zscore_mean_reversion': {'zscore_window': 20, 'zscore_threshold': 2}}",-0.6593819542779845,3406.180457220155,combo,ETH/USD
"['macd', 'zscore_mean_reversion']",OR,OR,"{'macd': {'fast_period': 12, 'slow_period': 26, 'signal_period': 12}, 'zscore_mean_reversion': {'zscore_window': 20, 'zscore_threshold': 2}}",-0.7657156830937596,2342.8431690624043,combo,ETH/USD
"['rsi', 'macd', 'volume_price_action']",AND,AND,"{'rsi': {'period': 14, 'buy_threshold': 35, 'sell_threshold': 70}, 'macd': {'fast_period': 20, 'slow_period': 50, 'signal_period': 12}, 'volume_price_action': {'volume_multiplier': 2.5}}",9.37661044005278,103766.1044005278,combo,ETH/USD
"['zscore_mean_reversion', 'bollinger_bands', 'rsi']",AND,OR,"{'zscore_mean_reversion': {'zscore_window': 20, 'zscore_threshold': 2.5}, 'bollinger_bands': {'period': 20, 'std_dev': 2.5}, 'rsi': {'period': 14, 'buy_threshold': 35, 'sell_threshold': 75}}",-0.9486072403484508,513.9275965154922,combo,ETH/USD
"['high_low_breakout', 'vwap_zone', 'moving_average_crossover']",OR,AND,"{'high_low_breakout': {'lookback': 12}, 'vwap_zone': {'rsi_period': 14, 'rsi_lower': 45, 'rsi_upper': 55}, 'moving_average_crossover': {'short_window': 5, 'long_window': 100}}",4.23546391796795,52354.6391796795,combo,ETH/USD
['moving_average_crossover'],,,"{'short_window': 5, 'long_window': 200}",7.303654529208831,83036.54529208831,single,XRP/USD
['rsi'],,,"{'period': 7, 'buy_threshold': 35, 'sell_threshold': 65}",-0.8519161638222394,1480.8383617776055,single,XRP/USD
['bollinger_bands'],,,"{'period': 20, 'std_dev': 3}",-0.9489951242264333,510.04875773566715,single,XRP/USD
['macd'],,,"{'fast_period': 20, 'slow_period': 26, 'signal_period': 9}",48.29647481262685,492964.7481262685,single,XRP/USD
['high_low_breakout'],,,{'lookback': 48},0.23766812261503856,12376.681226150386,single,XRP/USD
['volume_price_action'],,,{'volume_multiplier': 2.5},-0.6488768095348091,3511.231904651909,single,XRP/USD
['vwap_zone'],,,"{'rsi_period': 14, 'rsi_lower': 40, 'rsi_upper': 55}",-0.8070069965314047,1929.9300346859527,single,XRP/USD
['zscore_mean_reversion'],,,"{'zscore_window': 20, 'zscore_threshold': 3}",-0.9489951242264333,510.04875773566715,single,XRP/USD
